motif	estimatedScale	MSE	optimizedScale	optimizedMSE	motifLength	numberOfKmers
ABF1	0.2849230726540749	2.4523583050258697	0.3049230726540749	0.025370762010383144	14.0	198552
ABF2	0.3313653255442076	6.503787401791287	0.3813653255442076	0.017306634269552926	6.0	198552
ABF3	0.32232435199316506	3.7091276737131125	0.36232435199316504	0.005177946998549392	7.0	198552
ABF4	0.3654075695259536	0.37286937467770626	0.3754075695259536	0.013511299802521094	7.0	198552
ABI3	0.334009101506174	2.9342771871040774	0.374009101506174	0.007603434409101709	6.0	198552
ABI5	0.3345288795224628	1.5016925976272695	0.3545288795224628	0.015053272646450948	8.0	198552
ABR1	0.19353657798168397	26.06062416694896	0.293536577981684	0.07561694595816577	12.0	198552
ACE2	0.34439451262395243	12.279199565069137	0.44439451262395246	0.020941822806999532	5.0	198552
ADR1	0.2636592757876726	22.06826802521908	0.3936592757876726	0.041699976182517	6.0	198552
AFT1	0.3186438718404348	0.9097885848331787	0.3386438718404348	0.08045214597770789	10.0	198552
AFT2	0.3415391024206888	3.4423087189740373	0.3815391024206888	0.0022172387575841853	6.0	198552
AG	0.2505231144641399	14.523553482585891	0.3105231144641399	0.08538187162698709	16.0	198552
AGL1	0.2572875061417981	11.60541232237948	0.31728750614179807	0.0781430717000708	16.0	198552
AGL13	0.23087124536143525	15.63420719023307	0.29087124536143527	0.03355787135411595	18.0	198552
AGL15	0.23898845830639437	10.302675316835561	0.28898845830639436	0.0008392204625766044	16.0	198552
AGL16	0.2714953413455658	6.9045506127472525	0.3114953413455658	0.0009465210102508004	15.0	198552
AGL27	0.2529474846598637	12.76497881203064	0.3129474846598637	1.845127950620641e-05	14.0	198552
AGL3	0.2735280930006967	8.4378920584693	0.3235280930006967	0.015809998950029217	10.0	198552
AGL55	0.38407741774211374	0.3032867934341332	0.39407741774211374	0.026425581051015584	6.0	198552
AGL6	0.23232404213557092	14.872193656716053	0.28232404213557094	0.1162262666410716	19.0	198552
AGL63	0.22641409532481677	13.957959844255601	0.28641409532481676	0.023519746385031903	15.0	198552
AIB	0.2363540159382755	3.9254641423532064	0.2663540159382755	0.0027243419086203737	8.0	198552
AIL6	0.2533512054179774	3.695082730564473	0.2733512054179774	0.1547118515486721	15.0	198552
AIL7	0.30860449081455316	4.605923395668794	0.34860449081455314	0.000656000666595906	11.0	198552
ALX3	0.17157961878335268	31.306194530877555	0.38157961878335267	0.0013988147339475915	6.0	198552
ANL2	0.182590987498297	25.420287341224437	0.302590987498297	0.06615705972409139	10.0	198552
ANT	0.24374506744520621	4.4896612234157125	0.2737450674452062	0.04740862460144596	16.0	198552
AP1	0.2327258520169391	14.295221804531232	0.30272585201693913	0.020163275094619786	13.0	198552
AP3	0.25385371596120976	12.824075398392885	0.31385371596120976	0.03388406200473278	13.0	198552
AP4	0.2903001694376539	5.582597839961831	0.3303001694376539	0.0003898187782931643	10.0	198552
AR	0.2989645521942297	4.45801650162697	0.3289645521942297	0.05534861447100216	15.0	198552
ARALYDRAFT_484486	0.26814444348349814	16.078253897049386	0.33814444348349815	0.0058170202190661584	8.0	198552
ARALYDRAFT_493022	0.27343501091094086	9.7524639711496	0.33343501091094085	0.07522385661222512	8.0	198552
ARALYDRAFT_495258	0.26814444348349814	16.078253897049386	0.33814444348349815	0.0058170202190661584	8.0	198552
ARALYDRAFT_496250	0.306376876709665	3.408729939251165	0.346376876709665	0.0068929586202421105	8.0	198552
ARALYDRAFT_897773	0.26952107902332495	8.15215735477623	0.31952107902332494	0.00923309975894848	9.0	198552
ARF1	0.34055718387371886	2.069908025150449	0.37055718387371883	2.3221479092011235e-06	7.0	198552
ARF10	0.2653351126105876	9.960137979670359	0.3153351126105876	0.08380597221310818	11.0	198552
ARF13	0.2213226822075603	10.589844488931268	0.2713226822075603	0.1227414164066297	14.0	198552
ARF14	0.2001701480304288	7.255633169343072	0.2301701480304288	0.004598403429143012	16.0	198552
ARF16	0.328650530140785	0.9111722826050689	0.348650530140785	0.054071060635189724	10.0	198552
ARF18	0.3608920488558473	0.4509010318580958	0.3708920488558473	0.02646047385142306	8.0	198552
ARF2	0.3860926790986216	1.243640933274346	0.4160926790986216	0.01753777469505479	6.0	198552
ARF25	0.2572250321871616	8.166516155178506	0.29722503218716156	0.11229530089926786	12.0	198552
ARF27	0.3752949339885598	0.11003082017247691	0.3852949339885598	0.025826265558503838	8.0	198552
ARF29	0.3427140465431126	0.46472160255847544	0.3527140465431126	0.01617436988471417	8.0	198552
ARF3	0.3451495018635391	1.7575374902786407	0.3651495018635391	0.07157285226894305	8.0	198552
ARF34	0.3564597447628248	0.634917777794928	0.37645974476282484	0.04795640100756272	8.0	198552
ARF35	0.34499820022876754	0.9890271172367062	0.36499820022876756	0.006897858775646316	9.0	198552
ARF36	0.25465446207133474	5.765849691205673	0.2946544620713347	0.11378676999248569	12.0	198552
ARF39	0.28787570505571136	4.996180832575787	0.32787570505571134	0.06223830841744393	11.0	198552
ARF4	0.3588579024962093	0.30230072771208955	0.3688579024962093	0.00017636169510014215	8.0	198552
ARF5	0.35523160249140406	1.7964472631693358	0.3852316024914041	0.0035797300533745003	7.0	198552
