GeneStableID	GeneName
ENSG00000072310	SREBP1
ENSG00000164458	TBXT
ENSG00000106546	AHR
ENSG00000160224	AIRE
ENSG00000180318	ALX1
ENSG00000156150	ALX3
ENSG00000169083	AR
ENSG00000186103	ARGFX
ENSG00000150347	ARID5B
ENSG00000143437	ARNT
ENSG00000172379	ARNT2
ENSG00000133794	ARNTL
ENSG00000139352	ASCL1
ENSG00000123268	ATF1
ENSG00000115966	ATF2
ENSG00000162772	ATF3
ENSG00000128272	ATF4
ENSG00000118217	ATF6
ENSG00000170653	ATF7
ENSG00000172238	ATOH1
ENSG00000179774	ATOH7
ENSG00000156273	BACH1
ENSG00000112182	BACH2
ENSG00000125492	BARHL1
ENSG00000143032	BARHL2
ENSG00000131668	BARX1
ENSG00000043039	BARX2
ENSG00000156127	BATF
ENSG00000123685	BATF3
ENSG00000119866	BCL11A
ENSG00000113916	BCL6
ENSG00000161940	BCL6B
ENSG00000180535	BHLHA15
ENSG00000180828	BHLHE22
ENSG00000125533	BHLHE23
ENSG00000134107	BHLHE40
ENSG00000123095	BHLHE41
ENSG00000173068	BNC2
ENSG00000188909	BSX
ENSG00000067955	CBFB
ENSG00000113722	CDX1
ENSG00000165556	CDX2
ENSG00000131264	CDX4
ENSG00000245848	CEBPA
ENSG00000172216	CEBPB
ENSG00000221869	CEBPD
ENSG00000092067	CEBPE
ENSG00000153879	CEBPG
ENSG00000134852	CLOCK
ENSG00000118260	CREB1
ENSG00000107175	CREB3
ENSG00000157613	CREB3L1
ENSG00000143578	CREB3L4
ENSG00000095794	CREM
ENSG00000105392	CRX
ENSG00000102974	CTCF
ENSG00000124092	CTCFL
ENSG00000257923	CUX1
ENSG00000111249	CUX2
ENSG00000105516	DBP
ENSG00000144355	DLX1
ENSG00000064195	DLX3
ENSG00000105880	DLX5
ENSG00000006377	DLX6
ENSG00000064218	DMRT3
ENSG00000176399	DMRTA1
ENSG00000142700	DMRTA2
ENSG00000142025	DMRTC2
ENSG00000204595	DPRX
ENSG00000165606	DRGX
ENSG00000260596	DUX4
ENSG00000258873	DUXA
ENSG00000101412	E2F1
ENSG00000282899	E2F2
ENSG00000007968	E2F2
ENSG00000112242	E2F3
ENSG00000205250	E2F4
ENSG00000133740	E2F5
ENSG00000169016	E2F6
ENSG00000165891	E2F7
ENSG00000129173	E2F8
ENSG00000164330	EBF1
ENSG00000108001	EBF3
ENSG00000120738	EGR1
ENSG00000122877	EGR2
ENSG00000179388	EGR3
ENSG00000135625	EGR4
ENSG00000135373	EHF
ENSG00000120690	ELF1
ENSG00000109381	ELF2
ENSG00000163435	ELF3
ENSG00000102034	ELF4
ENSG00000135374	ELF5
ENSG00000126767	ELK1
ENSG00000111145	ELK3
ENSG00000158711	ELK4
ENSG00000135638	EMX1
ENSG00000170370	EMX2
ENSG00000163064	EN1
ENSG00000164778	EN2
ENSG00000163508	EOMES
ENSG00000116016	EPAS1
ENSG00000105722	ERF
ENSG00000157554	ERG
ENSG00000091831	ESR1
ENSG00000140009	ESR2
ENSG00000173153	ESRRA
ENSG00000119715	ESRRB
ENSG00000196482	ESRRG
ENSG00000123576	ESX1
ENSG00000134954	ETS1
ENSG00000157557	ETS2
ENSG00000006468	ETV1
ENSG00000105672	ETV2
ENSG00000117036	ETV3
ENSG00000175832	ETV4
ENSG00000244405	ETV5
ENSG00000139083	ETV6
ENSG00000010030	ETV7
ENSG00000106038	EVX1
ENSG00000174279	EVX2
ENSG00000146618	FERD3L
ENSG00000163497	FEV
ENSG00000128610	FEZF1
ENSG00000183733	FIGLA
ENSG00000151702	FLI1
ENSG00000170345	FOS
ENSG00000125740	FOSB
ENSG00000175592	FOSL1
ENSG00000075426	FOSL2
ENSG00000129514	FOXA1
ENSG00000125798	FOXA2
ENSG00000170608	FOXA3
ENSG00000171956	FOXB1
ENSG00000054598	FOXC1
ENSG00000176692	FOXC2
ENSG00000251493	FOXD1
ENSG00000186564	FOXD2
ENSG00000187140	FOXD3
ENSG00000178919	FOXE1
ENSG00000137273	FOXF2
ENSG00000176165	FOXG1
ENSG00000160973	FOXH1
ENSG00000168269	FOXI1
ENSG00000065970	FOXJ2
ENSG00000198815	FOXJ3
ENSG00000164916	FOXK1
ENSG00000141568	FOXK2
ENSG00000176678	FOXL1
ENSG00000111206	FOXM1
ENSG00000053254	FOXN3
ENSG00000150907	FOXO1
ENSG00000118689	FOXO3
ENSG00000184481	FOXO4
ENSG00000281518	FOXO6
ENSG00000204060	FOXO6
ENSG00000114861	FOXP1
ENSG00000128573	FOXP2
ENSG00000049768	FOXP3
ENSG00000164379	FOXQ1
ENSG00000154727	GABPA
ENSG00000102145	GATA1
ENSG00000179348	GATA2
ENSG00000107485	GATA3
ENSG00000285109	GATA4
ENSG00000136574	GATA4
ENSG00000130700	GATA5
ENSG00000141448	GATA6
ENSG00000164900	GBX1
ENSG00000168505	GBX2
ENSG00000137270	GCM1
ENSG00000124827	GCM2
ENSG00000162676	GFI1
ENSG00000165702	GFI1B
ENSG00000074047	GLI2
ENSG00000106571	GLI3
ENSG00000174332	GLIS1
ENSG00000274636	GLIS2
ENSG00000126603	GLIS2
ENSG00000107249	GLIS3
ENSG00000101216	GMEB2
ENSG00000134317	GRHL1
ENSG00000083307	GRHL2
ENSG00000133937	GSC
ENSG00000063515	GSC2
ENSG00000169840	GSX1
ENSG00000180613	GSX2
ENSG00000164107	HAND2
ENSG00000114315	HES1
ENSG00000069812	HES2
ENSG00000273529	HES5
ENSG00000197921	HES5
ENSG00000144485	HES6
ENSG00000179111	HES7
ENSG00000163666	HESX1
ENSG00000164683	HEY1
ENSG00000135547	HEY2
ENSG00000177374	HIC1
ENSG00000169635	HIC2
ENSG00000100644	HIF1A
ENSG00000172273	HINFP
ENSG00000108924	HLF
ENSG00000147421	HMBOX1
ENSG00000135100	HNF1A
ENSG00000276194	HNF1B
ENSG00000275410	HNF1B
ENSG00000101076	HNF4A
ENSG00000164749	HNF4G
ENSG00000105991	HOXA1
ENSG00000253293	HOXA10
ENSG00000106031	HOXA13
ENSG00000105996	HOXA2
ENSG00000197576	HOXA4
ENSG00000106004	HOXA5
ENSG00000106006	HOXA6
ENSG00000122592	HOXA7
ENSG00000078399	HOXA9
ENSG00000159184	HOXB13
ENSG00000173917	HOXB2
ENSG00000120093	HOXB3
ENSG00000182742	HOXB4
ENSG00000120075	HOXB5
ENSG00000108511	HOXB6
ENSG00000260027	HOXB7
ENSG00000120068	HOXB8
ENSG00000170689	HOXB9
ENSG00000180818	HOXC10
ENSG00000123388	HOXC11
ENSG00000123407	HOXC12
ENSG00000123364	HOXC13
ENSG00000198353	HOXC4
ENSG00000037965	HOXC8
ENSG00000180806	HOXC9
ENSG00000128710	HOXD10
ENSG00000128713	HOXD11
ENSG00000170178	HOXD12
ENSG00000128714	HOXD13
ENSG00000128652	HOXD3
ENSG00000170166	HOXD4
ENSG00000175879	HOXD8
ENSG00000128709	HOXD9
ENSG00000284774	HSF1
ENSG00000185122	HSF1
ENSG00000025156	HSF2
ENSG00000102878	HSF4
ENSG00000185811	IKZF1
ENSG00000173404	INSM1
ENSG00000125347	IRF1
ENSG00000168310	IRF2
ENSG00000126456	IRF3
ENSG00000137265	IRF4
ENSG00000128604	IRF5
ENSG00000117595	IRF6
ENSG00000276561	IRF7
ENSG00000185507	IRF7
ENSG00000140968	IRF8
ENSG00000285048	IRF9
ENSG00000213928	IRF9
ENSG00000016082	ISL1
ENSG00000159556	ISL2
ENSG00000175329	ISX
ENSG00000140044	JDP2
ENSG00000177606	JUN
